,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",372.20(15.12),51.54(1.97),48.67(1.21),35.70(0.58),49.43(1.54),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",364.40(13.50),52.55(1.76),50.04(1.25),36.34(0.85),50.28(1.24),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",268.60(1.52),65.03(0.20),nan(nan),nan(nan),50.17(0.20),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.01}",269.00(1.00),64.97(0.13),nan(nan),nan(nan),49.99(0.19),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.0001, 'beta2': 1}",269.60(0.89),64.90(0.12),nan(nan),nan(nan),49.87(0.17),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 0.01}",269.00(1.00),64.97(0.13),nan(nan),nan(nan),49.99(0.19),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 0.01, 'beta2': 1}",269.60(0.89),64.90(0.12),nan(nan),nan(nan),49.87(0.17),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 0.01}",269.00(1.00),64.97(0.13),nan(nan),nan(nan),49.99(0.19),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.0001, 'beta0': 1, 'beta1': 1, 'beta2': 1}",269.60(0.89),64.90(0.12),nan(nan),nan(nan),49.87(0.17),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.0001}",273.20(3.96),64.43(0.52),45.77(0.30),32.16(0.31),49.65(0.34),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 0.01}",271.20(1.48),64.69(0.19),45.75(0.38),31.88(0.37),49.73(0.11),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.0001, 'beta2': 1}",285.00(22.73),62.89(2.96),49.48(nan),35.48(nan),50.38(0.60),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.0001}",369.20(4.38),51.93(0.57),48.13(0.97),34.97(1.01),48.83(0.47),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 0.01}",370.60(9.37),51.74(1.22),48.13(1.42),35.14(1.05),48.71(1.25),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 0.01, 'beta2': 1}",272.00(3.67),64.58(0.48),nan(nan),nan(nan),50.07(0.40),0.17(0.00)
